"Date","nb_crimes","nb_aggravated","nb_vandalism","nb_robbery","nb_selected","TEMP","Wind","PRCP","DEWP","Day_Wk","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","year","Weekend","Friday","WDSP_lag","PRCP_lag","TEMP_lag","Season","Winter","Spring","Summer","Fall","heat.index","DayMonth","DayMonth_3","DayMonth1","DayMonth2","DayMonth3","DayMonth1_15_30","LastDayMonth","FirstDayMonth","MidDayMonth","Events","Holidays","Rain","WindxRain","WindxHeatIndex"
2010-01-01,2158,43,75,36,333,14.611111111,3.6,0,2.8888888889,"Friday",1,0,0,0,0,0,0,0,0,"2010",0,1,NA,NA,NA,"Winter",1,0,0,0,13,1,1,1,0,0,1,0,1,0,0,1,0,0,46.8
2010-01-02,533,23,56,31,196,17.666666667,4.9,0,3.1666666667,"Saturday",1,0,0,0,0,0,0,0,0,"2010",1,0,3.6,0,14.611111111,"Winter",1,0,0,0,16,2,1,1,0,0,0,0,0,0,0,0,0,0,78.4
2010-01-03,539,30,59,23,219,18.666666667,4.7,0,-3.111111111,"Sunday",1,0,0,0,0,0,0,0,0,"2010",1,0,4.9,0,17.666666667,"Winter",1,0,0,0,17,3,1,1,0,0,0,0,0,0,0,0,0,0,79.9
2010-01-04,558,15,54,34,159,17.666666667,5.4,0,-4.277777778,"Monday",1,0,0,0,0,0,0,0,0,"2010",0,0,4.7,0,18.666666667,"Winter",1,0,0,0,16,4,1,1,0,0,0,0,0,0,0,0,0,0,86.4
2010-01-05,547,17,52,24,160,16.333333333,3.8,0,-1.555555556,"Tuesday",1,0,0,0,0,0,0,0,0,"2010",0,0,5.4,0,17.666666667,"Winter",1,0,0,0,15,5,1,1,0,0,0,0,0,0,0,0,0,0,57
2010-01-06,532,21,49,29,174,15.666666667,3.6,0,3.8333333333,"Wednesday",1,0,0,0,0,0,0,0,0,"2010",0,0,3.8,0,16.333333333,"Winter",1,0,0,0,14,6,1,1,0,0,0,0,0,0,0,0,0,0,50.4
2010-01-07,550,20,54,25,159,13.944444444,3.1,0,7.7777777778,"Thursday",1,0,0,0,0,0,0,0,0,"2010",0,0,3.6,0,15.666666667,"Winter",1,0,0,0,13,7,1,1,0,0,0,0,0,0,0,0,0,0,40.3
2010-01-08,605,21,56,37,184,14.388888889,3.4,0,8.2222222222,"Friday",1,0,0,0,0,0,0,0,0,"2010",0,1,3.1,0,13.944444444,"Winter",1,0,0,0,14,8,1,1,0,0,0,0,0,0,0,0,0,0,47.6
2010-01-09,628,35,79,33,237,17.888888889,5.8,0,3.3333333333,"Saturday",1,0,0,0,0,0,0,0,0,"2010",1,0,3.4,0,14.388888889,"Winter",1,0,0,0,17,9,1,1,0,0,0,0,0,0,0,0,0,0,98.6
2010-01-10,618,27,46,35,192,17.166666667,4.4,0,5.1666666667,"Sunday",1,0,0,0,0,0,0,0,0,"2010",1,0,5.8,0,17.888888889,"Winter",1,0,0,0,16,10,1,1,0,0,0,0,0,0,0,0,0,0,70.4
